plot number,plot,date,treatment,field,predator,scavenger,herbivore,scavengernoants,percentpred,percentscav,percentherb,antcolony
35,35J,7/20/16,corn,stony.ridge,4,0,1,0,0.8,0,0.2,0
35,35J,7/27/16,corn,stony.ridge,9,0,2,0,0.818181818,0,0.181818182,0
35,35J,8/3/16,corn,stony.ridge,6,1,0,1,0.857142857,0.142857143,0,0
35,35J,9/21/16,corn,stony.ridge,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0
36,36J,7/20/16,both,stony.ridge,3,1,1,1,0.6,0.2,0.2,0
36,36J,7/27/16,both,stony.ridge,3,0,1,0,0.75,0,0.25,0
36,36J,8/3/16,both,stony.ridge,5,7,0,7,0.416666667,0.583333333,0,0
36,36J,9/21/16,both,stony.ridge,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0
37,37J,7/20/16,control,luckey,2,1,1,1,0.5,0.25,0.25,0
37,37J,7/27/16,control,luckey,1,1,0,1,0.5,0.5,0,0
37,37J,8/3/16,control,luckey,4,4,1,4,0.444444444,0.444444444,0.111111111,0
37,37J,9/21/16,control,luckey,3,2,1,2,0.5,0.333333333,0.166666667,0
38,38J,7/20/16,na,luckey,3,2,0,1,0.75,0.25,0,0
38,38J,7/27/16,na,luckey,2,2,0,2,0.5,0.5,0,0
38,38J,8/3/16,na,luckey,6,3,2,3,0.545454545,0.272727273,0.181818182,0
38,38J,9/21/16,na,luckey,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0
39,39J,7/20/16,corn,luckey,4,1,0,1,0.8,0.2,0,0
39,39J,7/27/16,corn,luckey,2,0,0,0,1,0,0,0
39,39J,9/21/16,corn,luckey,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0
40,40J,7/20/16,both,luckey,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0
40,40J,7/27/16,both,luckey,4,2,0,2,0.666666667,0.333333333,0,0
40,40J,8/3/16,both,luckey,4,3,2,3,0.444444444,0.333333333,0.222222222,0
